bin_index,bin_left,bin_right,bin_center,pairs_1_98_normalized,pnimit_normalized,pairs_1_98_count,pnimit_count
204,203.203125,204.19921875,203.701171875,0.006488981701078869,0.0072294520471154,750162.0,461049.0
205,204.19921875,205.1953125,204.697265625,0.006291041298518105,0.00709665438485603,727279.0,452580.0
206,205.1953125,206.19140625,205.693359375,0.006051095975499575,0.0069666321608089525,699540.0,444288.0
207,206.19140625,207.1875,206.689453125,0.005867125496031746,0.006715306038398611,678272.0,428260.0
208,207.1875,208.18359375,207.685546875,0.005652274133937429,0.006406558137833374,653434.0,408570.0
209,208.18359375,209.1796875,208.681640625,0.005363005899788301,0.006155545624260579,619993.0,392562.0
210,209.1796875,210.17578125,209.677734375,0.005065044307924993,0.005775138104315802,585547.0,368302.0
211,210.17578125,211.171875,210.673828125,0.004753683700042517,0.005301965090224557,549552.0,338126.0
212,211.171875,212.16796875,211.669921875,0.004404764326791915,0.004879816234002245,509215.00000000006,311204.0
213,212.16796875,213.1640625,212.666015625,0.004075688299408305,0.004413918944942095,471171.99999999994,281492.0
214,213.1640625,214.16015625,213.662109375,0.0037651494517077664,0.003932937070795925,435272.0,250818.0
215,214.16015625,215.15625,214.658203125,0.0034690822333165038,0.0034011662454089824,401045.0,216905.0
216,215.15625,216.15234375,215.654296875,0.003165679724038053,0.002902920204755837,365970.0,185130.0
217,216.15234375,217.1484375,216.650390625,0.002888331337580605,0.0024843935306071954,333907.0,158439.0
218,217.1484375,218.14453125,217.646484375,0.0026115798085184594,0.0021331516325543095,301913.0,136039.0
219,218.14453125,219.140625,218.642578125,0.002274381330494437,0.001872229079715023,262931.0,119399.0
220,219.140625,220.13671875,219.638671875,0.001933394105526325,0.0016789362726927944,223511.0,107072.0
221,220.13671875,221.1328125,220.634765625,0.001603046512387507,0.0014545334689858814,185321.0,92761.0
222,221.1328125,222.12890625,221.630859375,0.0013280163546538408,0.0012698021832286918,153526.0,80980.0
223,222.12890625,223.125,222.626953125,0.0011267802612581492,0.001075850797647614,130262.00000000001,68611.0
224,223.125,224.12109375,223.623046875,0.0009662775225650155,0.0009263221039050996,111707.0,59075.0
225,224.12109375,225.1171875,224.619140625,0.0008309898462965916,0.0007975072738825792,96067.0,50860.0
226,225.1171875,226.11328125,225.615234375,0.0007208999322385204,0.0006644744049950486,83340.0,42376.0
227,226.11328125,227.109375,226.611328125,0.0006364575859640732,0.0005604189926968812,73578.0,35740.0
228,227.109375,228.10546875,227.607421875,0.0005726024947739513,0.0004813582047512272,66196.0,30698.0
229,228.10546875,229.1015625,228.603515625,0.0004958414436738237,0.00043889556814733367,57322.0,27990.0
230,229.1015625,230.09765625,229.599609375,0.00041533489616549745,0.00040046280510592196,48015.0,25539.0
231,230.09765625,231.09375,230.595703125,0.00034688659806370465,0.0003552404107316129,40102.0,22655.0
232,231.09375,232.08984375,231.591796875,0.0002882734718236253,0.000304639624793369,33326.0,19428.0
233,232.08984375,233.0859375,232.587890625,0.000242038648955676,0.0002499148826413792,27981.0,15938.0
234,233.0859375,234.08203125,233.583984375,0.0002012360933956916,0.0001927439915565211,23264.0,12292.0
235,234.08203125,235.078125,234.580078125,0.0001738152536405187,0.0001493091675562312,20094.0,9522.0
236,235.078125,236.07421875,235.576171875,0.00019415165561667376,0.00011261693356320652,22445.0,7182.0
237,236.07421875,237.0703125,236.572265625,0.00013061661839214853,9.187170895945796e-05,15100.000000000002,5859.0
238,237.0703125,238.06640625,237.568359375,0.00012698357337726757,7.954688164385223e-05,14680.0,5073.0
239,238.06640625,239.0625,238.564453125,9.276374937996031e-05,6.394484197587805e-05,10724.0,4078.0
240,239.0625,240.05859375,239.560546875,8.340433341305272e-05,4.951883544870596e-05,9642.0,3158.0
241,240.05859375,241.0546875,240.556640625,7.123363261320153e-05,4.14277274399877e-05,8235.0,2642.0
242,241.0546875,242.05078125,241.552734375,6.057670056955074e-05,3.714696680746815e-05,7003.0,2369.0
243,242.05078125,243.046875,242.548828125,5.08885805298682e-05,3.328957810563735e-05,5883.0,2123.0
244,243.046875,244.04296875,243.544921875,4.264502838895975e-05,3.089047049840112e-05,4930.0,1970.0
245,244.04296875,245.0390625,244.541015625,3.247250234729309e-05,2.8993137031240442e-05,3754.0000000000005,1849.0
246,245.0390625,246.03515625,245.537109375,2.237782727023101e-05,2.8820652170589473e-05,2587.0,1838.0
247,246.03515625,247.03125,246.533203125,1.7386715428358844e-05,2.5167109213164365e-05,2010.0,1605.0
248,247.03125,248.02734375,247.529296875,1.473978263180272e-05,2.444580888680576e-05,1704.0,1559.0
249,248.02734375,249.0234375,248.525390625,1.1409491368161847e-05,2.4038117397994374e-05,1319.0,1533.0
250,249.0234375,250.01953125,249.521484375,1.277620830233135e-05,2.6594029424004215e-05,1477.0,1696.0
251,250.01953125,251.015625,250.517578125,9.368066074085884e-06,3.0451418125835012e-05,1083.0,1942.0
252,251.015625,252.01171875,251.513671875,1.1011586437960601e-05,3.5578922619732055e-05,1273.0,2269.0
253,252.01171875,253.0078125,252.509765625,9.506467788938492e-06,4.468925935047878e-05,1099.0,2850.0
254,253.0078125,254.00390625,253.505859375,0.0018238837486491992,6.911938779540718e-05,210851.0,4408.0
255,254.00390625,255.0,254.501953125,0.002998386651209963,0.00020257562861362643,346630.0,12919.0
